Parameter,Value,Mean Total Time,%Δ Input,%Δ Output,Sensitivity Coefficient
Beds,1,363.92622400539375,-80.0,4.510553810241507,-0.05638192262801883
Beds,2,368.3474661377322,-60.0,5.780224510787173,-0.09633707517978622
Beds,3,344.0507072451032,-40.0,-1.1971999235260218,0.029929998088150545
Beds,5,337.6111764127787,0.0,-3.0464729057180957,0.0
Beds,8,324.32170170048687,60.0,-6.862879282655188,-0.11438132137758647
Beds,10,317.48066283373856,100.0,-8.827455379239685,-0.08827455379239686
Labs,1,345.94121573784884,0.0,-0.6542929370899885,0.0
Labs,2,302.2300698460651,100.0,-13.207046114785909,-0.1320704611478591
Labs,3,322.24375741887155,200.0,-7.459613162583616,-0.03729806581291808
Labs,5,355.33131194293503,400.0,2.0423089838269846,0.005105772459567461
